ds,yhat,yhat_lower,yhat_upper
2023-12-22,17943.28939428873,-10423.48302737127,47403.73593138972
2023-12-23,18783.888086003146,-10042.237843212439,47803.12230941726
2023-12-24,17566.556780343715,-11574.723348971786,47604.543261653314
2023-12-25,18327.512772049668,-11766.031366015339,45748.3446241431
2023-12-26,18943.551503828334,-10382.092443498732,47603.82397090031
2023-12-27,19534.238232908665,-7771.17616743806,49453.19818381195
2023-12-28,17959.08006069989,-10013.029702885207,46510.5643536104
2023-12-29,16215.197453265659,-12340.4476315281,44027.2265134693
2023-12-30,16049.709847612841,-12512.791410827616,44704.521816988265
2023-12-31,13871.36281089247,-13900.048052288035,43413.93206512358
2024-01-01,13743.22810783983,-13908.792514571605,42808.130634377994
2024-01-02,13567.381659030816,-15089.622586235604,42109.77935087514
2024-01-03,13486.526792123026,-14728.205813434924,42887.39852671611
2024-01-04,11380.301143947585,-16782.72385839317,40918.89874141058
2024-01-05,9262.387535577847,-18835.422727617733,36861.526937892064
2024-01-06,8892.371570958047,-21356.561527677804,36205.30646789049
2024-01-07,6686.947793919236,-22212.151646319613,33428.80468703708
2024-01-08,6712.319254082703,-21979.97357434352,35562.641092333084
2024-01-09,6868.705760124564,-20679.007365022317,36511.897312558285
2024-01-10,7291.9349909976045,-20930.121079838544,32304.85216508299
2024-01-11,5849.857832604417,-22356.509146688295,33387.07824429081
2024-01-12,4539.707382402616,-24866.529021066388,34638.6354618039
2024-01-13,5100.339581899808,-21698.416498565526,34202.506076131845
2024-01-14,3923.9486964126995,-24396.024008627253,33442.77611949861
2024-01-15,5049.090246139778,-24312.810898718006,30754.483534029907
2024-01-16,6345.911086351619,-23969.353339435802,33722.405004882006
2024-01-17,7918.5423679460855,-20093.66402011457,35837.817731776595
2024-01-18,7602.375344424058,-20231.26883044375,35830.05824672713
2024-01-19,7362.317398351714,-21746.419138302183,35006.26836564272
2024-01-20,8905.941214387603,-20406.753609402433,38354.23856935658
2024-01-21,8596.095877844731,-19493.26021643452,38674.55408456659
2024-01-22,10444.787588014127,-18121.833713634405,37347.814006408
2024-01-23,12299.20555725658,-17891.382274986096,40069.56840279684
2024-01-24,14244.825991393982,-14566.22667841644,43967.49360628111
2024-01-25,14103.293791077023,-15493.814487025653,42862.411765037126
2024-01-26,13831.160376189364,-13997.7424528138,42197.279219881624
2024-01-27,15133.376371629913,-14264.196400327723,43794.63529806971
2024-01-28,14376.096065552889,-15646.220171201943,42608.822918809834
2024-01-29,15580.593873311536,-13001.66966225843,44701.80971223784
2024-01-30,16609.164999744942,-12651.998059099311,46839.171938594154
2024-01-31,17567.9441119004,-10272.777879694313,46867.69339627207
2024-02-01,16304.346893489774,-14557.903362085877,45623.0983653795
2024-02-02,14805.222332172569,-13271.617367957213,43600.213996066996
2024-02-03,14809.627933581358,-13754.759990190429,43452.290991072696
2024-02-04,12720.801912204304,-14360.701696919597,42281.68654861081
2024-02-05,12599.152993192802,-15894.98573561402,41928.949677810786
2024-02-06,12347.163164434833,-17078.981228301524,41519.40820570419
